employee_id,fio,gender,birth_date,age,education,married,kids,position,employment_type,division,distance_km,commute_min,transport_type,city,hire_date,fire_date,seniority_years
1,Кабанов Вениамин Адрианович,Мужской,1986-05-07,39,высшее,1.0,1,Сотрудник,Полная занятость,Производство,0.0,22.0,Личный,Санкт-Петербург,2010-11-27,,15
2,Гришина Ирина Ефимовна,Женский,2003-03-12,22,высшее,0.0,0,Сотрудник,Временная,Администрация,5.9,26.0,Личный,Санкт-Петербург,2016-12-08,2016-04-18,7
3,Цветкова Вера Борисовна,Женский,1942-02-26,83,высшее,0.0,1,Сотрудник,Временная,Логистика,20.8,158.0,Личный,Санкт-Петербург,1982-09-15,,40
4,Ларионов Трифон Афанасьевич,Мужской,1965-01-12,60,высшее,1.0,1,Сотрудник,Полная занятость,Бухгалтерия,8.0,77.0,Личный,Санкт-Петербург,2023-08-05,,4
5,Капустин Панфил Александрович,Мужской,2005-03-01,20,высшее,0.0,0,Ведущий специалист,Полная занятость,ИТ,19.1,135.0,Личный,Санкт-Петербург,2016-11-04,,12
6,Новиков Вадим Григорьевич,Мужской,1971-12-02,54,высшее,1.0,1,Ведущий специалист,Полная занятость,Бухгалтерия,15.0,59.0,Общественный,Санкт-Петербург,2009-09-03,2016-11-09,13
7,Жуков Силантий Адрианович,Мужской,1990-08-09,35,высшее,1.0,1,Сотрудник,Удалённая,Производство,5.1,19.0,Общественный,Санкт-Петербург,2010-03-02,,13
8,Шилова Евпраксия Тимофеевна,Женский,1980-07-04,45,высшее,1.0,0,Сотрудник,Полная занятость,HR,9.2,11.0,Личный,Санкт-Петербург,1973-03-26,,51
9,Гаврилова Елена Петровна,Женский,1992-07-18,33,среднее профессиональное,0.0,1,Линейный менеджер,Полная занятость,Сбыт,12.6,60.0,Смешанный,Санкт-Петербург,1978-09-03,,46
10,Сафонова Ирина Александровна,Женский,1972-08-01,53,высшее,1.0,1,Ведущий специалист,Полная занятость,Производство,10.2,14.0,Общественный,Санкт-Петербург,1998-04-01,2011-05-16,30
11,Мишин Гордей Федосьевич,Мужской,1968-03-22,57,высшее,0.0,1,Сотрудник,Полная занятость,Техническое обслуживание,34.0,152.0,Общественный,Санкт-Петербург,2012-01-17,,15
12,Александров Клавдий Витальевич,Мужской,1990-06-03,35,не указано,1.0,0,Ведущий специалист,Полная занятость,Производство,8.3,1.0,Общественный,Санкт-Петербург,2015-10-03,,8
13,Рябова Лукия Борисовна,Женский,1993-10-02,32,среднее профессиональное,1.0,0,Сотрудник,Полная занятость,ИТ,23.9,81.0,Личный,Санкт-Петербург,1984-12-02,2006-06-19,44
14,Тарасова Марина Болеславовна,Женский,1980-10-26,45,высшее,0.0,1,Сотрудник,Полная занятость,Техническое обслуживание,48.1,238.0,Личный,Санкт-Петербург,2002-02-10,,20
15,Ефимова Любовь Юльевна,Женский,1984-05-26,41,среднее профессиональное,0.0,1,Руководитель отдела,Полная занятость,Финансы,2.8,36.0,Личный,Санкт-Петербург,1992-12-26,,34
16,Белоусова Алина Робертовна,Женский,2001-05-15,24,незаконченное высшее,0.0,0,Сотрудник,Полная занятость,ИТ,28.3,71.0,Общественный,Санкт-Петербург,2024-10-26,,0
17,Белякова Варвара Мироновна,Женский,1991-07-02,34,высшее,0.0,0,Сотрудник,Полная занятость,ИТ,12.5,67.0,Личный,Санкт-Петербург,2017-10-10,2018-03-09,6
18,Федоров Устин Ерофеевич,Мужской,1987-11-24,38,среднее профессиональное,1.0,1,Ведущий специалист,Полная занятость,Администрация,5.6,69.0,Общественный,Санкт-Петербург,1986-07-13,,38
19,Никонов Ян Иосипович,Мужской,1970-09-22,55,высшее,1.0,0,Сотрудник,Полная занятость,Администрация,1.9,55.0,Общественный,Санкт-Петербург,2014-07-16,,12
20,Игнатьев Евдоким Арсеньевич,Мужской,1951-07-14,74,высшее,0.0,1,Сотрудник,Полная занятость,Техническое обслуживание,10.7,37.0,Общественный,Санкт-Петербург,1991-05-05,,35
21,Соловьев Зосима Ермолаевич,Мужской,1983-04-04,42,высшее,0.0,1,Сотрудник,Полная занятость,Производство,12.4,68.0,Общественный,Санкт-Петербург,2002-12-25,,20
22,Федоров Игорь Бориславович,Мужской,1989-06-21,36,высшее,0.0,1,Руководитель отдела,Полная занятость,Администрация,9.2,62.0,Общественный,Санкт-Петербург,1990-05-22,,38
23,Щербаков Клавдий Филиппович,Мужской,1980-05-08,45,среднее профессиональное,1.0,1,Сотрудник,Полная занятость,Финансы,5.9,87.0,Общественный,Санкт-Петербург,2022-03-06,,4
24,Калашников Михаил Владиславович,Мужской,1998-10-24,27,высшее,0.0,0,Линейный менеджер,Полная занятость,Администрация,20.2,74.0,Личный,Санкт-Петербург,2018-03-01,2024-06-17,8
25,Фомина Людмила Григорьевна,Женский,1976-10-10,49,высшее,1.0,1,Сотрудник,Полная занятость,Бухгалтерия,15.9,70.0,Общественный,Санкт-Петербург,2012-11-18,,15
26,Агафонова Ираида Анатольевна,Женский,1984-11-25,41,высшее,1.0,0,Ведущий специалист,Полная занятость,Бухгалтерия,27.9,150.0,Смешанный,Санкт-Петербург,2011-04-25,,17
27,Кошелева Глафира Тарасовна,Женский,1976-04-10,49,высшее,1.0,1,Руководитель отдела,Полная занятость,Финансы,2.4,1.0,Общественный,Санкт-Петербург,2012-03-27,,11
28,Артемьев Иннокентий Владиславович,Мужской,1972-03-21,53,высшее,1.0,1,Сотрудник,Полная занятость,Сбыт,8.4,45.0,Общественный,Санкт-Петербург,2004-08-11,,22
29,Суворов Натан Егорович,Мужской,1967-04-15,58,незаконченное высшее,1.0,1,Сотрудник,Полная занятость,Производство,5.8,49.0,Общественный,Санкт-Петербург,2011-10-06,,17
30,Стрелкова Тамара Дмитриевна,Женский,1970-05-10,55,,1.0,1,Ведущий специалист,Полная занятость,ИТ,54.7,187.0,Личный,Санкт-Петербург,2017-01-12,2017-05-06,6
31,Зимин Любосмысл Антонович,Мужской,1997-06-06,28,высшее,0.0,0,Сотрудник,Полная занятость,Производство,13.4,54.0,Общественный,Санкт-Петербург,1973-06-22,,54
32,Данилов Амос Жанович,Мужской,1990-02-15,35,высшее,0.0,1,Сотрудник,Полная занятость,Сбыт,18.0,100.0,Общественный,Санкт-Петербург,2024-04-13,,0
33,Власова Ираида Афанасьевна,Женский,1990-12-02,35,среднее профессиональное,1.0,0,Сотрудник,Полная занятость,ИТ,6.9,50.0,Общественный,Санкт-Петербург,1981-03-03,,46
34,Соболева Татьяна Кузьминична,Женский,1986-08-11,39,высшее,1.0,1,Линейный менеджер,Полная занятость,Логистика,20.9,75.0,Личный,Санкт-Петербург,2012-06-01,,16
35,Соболев Сигизмунд Тихонович,Мужской,1974-05-08,51,высшее,1.0,1,Сотрудник,Частичная занятость,Сбыт,7.7,66.0,Общественный,Санкт-Петербург,1990-04-22,,36
36,Доронин Ратмир Викторович,Мужской,1965-06-06,60,высшее,1.0,1,Сотрудник,Полная занятость,ИТ,9.2,43.0,Личный,Санкт-Петербург,1994-04-11,,33
37,Белоусова Вера Ефимовна,Женский,1990-12-26,35,высшее,0.0,1,Ведущий специалист,Полная занятость,Логистика,1.8,28.0,Личный,Санкт-Петербург,2008-08-09,,20
38,Кононов Феликс Евсеевич,Мужской,1993-05-26,32,высшее,0.0,0,Линейный менеджер,Полная занятость,HR,4.4,1.0,Общественный,Санкт-Петербург,1971-07-18,,53
39,Дементьев Фотий Федотович,Мужской,1984-06-24,41,высшее,1.0,1,Ведущий специалист,Полная занятость,Сбыт,9.6,116.0,Общественный,Санкт-Петербург,1977-01-07,,49
40,Самсонова Фаина Ниловна,Женский,2000-11-24,25,высшее,0.0,0,Линейный менеджер,Полная занятость,Производство,1.4,52.0,Общественный,Санкт-Петербург,2024-04-01,,4
41,Денисов Ефим Викентьевич,Мужской,1989-02-01,36,высшее,0.0,0,Сотрудник,Полная занятость,Сбыт,17.2,59.0,Общественный,Санкт-Петербург,2004-08-02,,23
42,Панфилова Полина Богдановна,Женский,1972-11-16,53,среднее профессиональное,1.0,0,Сотрудник,Полная занятость,Производство,11.3,17.0,Общественный,Санкт-Петербург,1984-05-20,,44
43,Симонова Алла Вадимовна,Женский,1983-05-06,42,высшее,0.0,1,Линейный менеджер,Полная занятость,Производство,8.4,42.0,Смешанный,Санкт-Петербург,2018-08-02,,10
44,Степанов Гордей Федосьевич,Мужской,1996-11-14,29,высшее,1.0,0,Директор,Полная занятость,Производство,36.7,164.0,Общественный,Санкт-Петербург,2019-06-21,,9
45,Кириллова Ангелина Натановна,Женский,1990-05-07,35,среднее профессиональное,0.0,0,Ведущий специалист,Полная занятость,Администрация,16.3,96.0,Общественный,Санкт-Петербург,1997-03-22,,31
46,Щербакова Фёкла Рубеновна,Женский,1980-05-24,45,высшее,1.0,1,Сотрудник,Полная занятость,Логистика,8.8,98.0,Личный,Санкт-Петербург,2016-03-03,2018-06-02,10
